REAL2;1; Maior ;1,815079519928986E-5;menor ;0,28644125648372665;time;36
REAL1;1; Maior ;4,198301015776451E-4;menor ;1,700244337141271;time;60
REAL1;2; Maior ;0,006109207827194041;menor ;14,774502283614538;time;8
REAL2;2; Maior ;1,8732655780695495E-4;menor ;2,6069940487508347;time;16
REAL1;3; Maior ;3,614104147118269E-4;menor ;0,7586535130445782;time;8
REAL2;3; Maior ;2,5482017917966004E-7;menor ;5,586765506261031;time;16
REAL2;4; Maior ;3,181205443070212E-6;menor ;2,3376178972389425;time;8
REAL1;4; Maior ;3,385003310540924E-6;menor ;0,07778222235435805;time;16
REAL1;5; Maior ;7,247466305670969E-5;menor ;0,6137428986199893;time;0
REAL2;5; Maior ;2,995161537455715E-5;menor ;1,2226958737791165;time;17
REAL1;6; Maior ;1,9940996594414173E-5;menor ;0,2863194416410124;time;5
REAL2;6; Maior ;8,338119130257837E-5;menor ;5,3413323280740315;time;11
REAL1;7; Maior ;8,633026027382584E-8;menor ;0,06071550402782577;time;0
REAL2;7; Maior ;2,2665378310193773E-5;menor ;0,13849288236269786;time;8
REAL1;8; Maior ;1,0083601864607772E-6;menor ;0,4830792237839887;time;0
REAL2;8; Maior ;3,108562953002547E-5;menor ;0,09868889643462353;time;8
REAL2;9; Maior ;1,2144187166995835E-6;menor ;0,7851972309051689;time;8
REAL1;9; Maior ;5,863429722694491E-4;menor ;21,606468519631335;time;16
REAL2;10; Maior ;4,695860820902453E-4;menor ;0,321598611972604;time;8
REAL1;10; Maior ;3,569009777493193E-6;menor ;0,03965067473745876;time;8
REAL1;11; Maior ;4,051041275943135E-5;menor ;0,04449894825506817;time;8
REAL2;11; Maior ;0,0013264680594602396;menor ;24,94537687416141;time;8
REAL1;12; Maior ;0,0017645183768308925;menor ;4,612811459906197;time;8
REAL2;12; Maior ;5,450815484664417E-4;menor ;1,472090237126281;time;16
REAL2;13; Maior ;5,139549830346368E-5;menor ;0,32727807548894816;time;8
REAL1;13; Maior ;8,774171146797016E-5;menor ;4,426614905239489;time;8
REAL1;14; Maior ;3,0769298291488667E-6;menor ;0,06956838962889833;time;8
REAL2;14; Maior ;3,862065409521165E-5;menor ;0,2676540110830956;time;16
REAL1;15; Maior ;7,263749861294855E-4;menor ;4,30892528602044;time;3
REAL2;15; Maior ;2,065640057935525E-5;menor ;2,423243964749986;time;10
REAL2;16; Maior ;1,757637426180736E-5;menor ;0,6454188741165581;time;2
REAL1;16; Maior ;0,002520159327332294;menor ;2,348964109358576;time;10
REAL2;17; Maior ;2,3823490505492373E-4;menor ;7,437273977901214;time;8
REAL1;17; Maior ;3,210532440789393E-6;menor ;0,03156519871788532;time;8
REAL1;18; Maior ;8,374201456717856E-5;menor ;1,5181150461318111;time;8
REAL2;18; Maior ;1,04566236473147E-4;menor ;0,1601953934687117;time;16
REAL1;19; Maior ;8,352949155323586E-4;menor ;46,48342062213874;time;8
REAL2;19; Maior ;8,720697212538653E-5;menor ;0,29557615641044777;time;16
REAL2;20; Maior ;6,010816036905453E-5;menor ;0,5428440744152567;time;8
REAL1;20; Maior ;0,008277105765159831;menor ;16,612337092735288;time;8
REAL2;21; Maior ;1,796357832972717E-5;menor ;0,27144466864012884;time;8
REAL1;21; Maior ;0,001648074936156263;menor ;4,311028154331666;time;16
REAL1;22; Maior ;8,458498801928727E-4;menor ;0,8487111801622405;time;8
REAL2;22; Maior ;1,48296212501009E-5;menor ;2,24991390474338;time;17
REAL1;23; Maior ;7,400739718832483E-6;menor ;0,020742709755836586;time;3
REAL2;23; Maior ;0,0031715812663151155;menor ;7,630417520393962;time;11
REAL1;24; Maior ;0,003924260285430137;menor ;22,13387554654753;time;0
REAL2;24; Maior ;2,9245784162412747E-5;menor ;1,0189660103110327;time;8
REAL1;25; Maior ;0,0010585539035901093;menor ;0,5521793884882982;time;8
REAL2;25; Maior ;1,4062060245123575E-4;menor ;0,3642579978164804;time;8
REAL2;26; Maior ;2,96601207992353E-4;menor ;3,8362589044319293;time;8
REAL1;26; Maior ;7,4572717494447716E-6;menor ;0,07190755245858327;time;16
REAL2;27; Maior ;2,675004176353468E-4;menor ;6,958694206710561;time;8
REAL1;27; Maior ;5,187144004139554E-4;menor ;1,0239577023800166;time;8
REAL2;28; Maior ;8,045057961680868E-5;menor ;1,0085048075919758;time;8
REAL1;28; Maior ;1,3851763162620045E-4;menor ;0,48743096692680865;time;16
REAL2;29; Maior ;0,022555322117796095;menor ;6,118901534867291;time;8
REAL1;29; Maior ;0,0026745444678226704;menor ;48,21382373333677;time;8
REAL1;30; Maior ;1,2602314882315113E-5;menor ;0,08384870790359855;time;8
REAL2;30; Maior ;0,006082638870907431;menor ;3,8848055794179572;time;16
